log_time,Model, confidence, detected bounding box width, detected bounding box height, img xcenter, img ycenter, model output xcenter,  model output ycenter, height (distance to floor), is_flying
2022-08-02 12:17:11.338488,YOLOFaceDetector,0.9073047637939453,166,225,480.0,360.0,279.0,87.0,0,False
2022-08-02 12:17:20.532976,YOLOObjectDetector,0.6927715539932251,676.3169555664062,555.2459106445312,480.0,360.0,519.07177734375,433.9029235839844,0,False
2022-08-02 12:17:20.532976,DepthPerception,243017952,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-02 12:17:20.532976,AzureObjectDetector,0.92,604,560,480.0,360.0,97.5,76.0,0,False
2022-08-02 12:22:13.813549,YOLOFaceDetector,0.9470421671867371,229,377,480.0,360.0,179.5,-3.0,0,False
2022-08-02 12:22:13.813549,YOLOObjectDetector,0.5860690474510193,913.9931640625,718.3409423828125,480.0,360.0,492.92657470703125,360.82952880859375,0,False
2022-08-02 12:22:13.813549,DepthPerception,216878917,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-02 12:22:13.813549,AzureObjectDetector,0.684,775,688,480.0,360.0,81.5,0.0,0,False
2022-08-02 12:22:23.359291,YOLOFaceDetector,0.9752298593521118,306,327,480.0,360.0,163.0,-4.0,0,False
2022-08-02 12:22:23.359291,YOLOObjectDetector,0.7541056871414185,925.9248046875,697.3455200195312,480.0,360.0,482.18206787109375,359.3923645019531,0,False
2022-08-02 12:22:23.359291,DepthPerception,258135663,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-02 12:22:23.359291,AzureObjectDetector,0.784,777,690,480.0,360.0,9.5,0.0,0,False
2022-08-02 12:22:31.694262,YOLOFaceDetector,0.7138991951942444,256,316,480.0,360.0,200.0,0.5,0,False
2022-08-02 12:22:31.694262,YOLOObjectDetector,0.7230381965637207,903.519775390625,713.5250854492188,480.0,360.0,496.48199462890625,356.7625427246094,0,False
2022-08-02 12:22:31.694262,DepthPerception,267899826,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-02 12:22:31.694262,AzureObjectDetector,0.766,770,689,480.0,360.0,83.0,0.0,0,False
2022-08-02 12:22:40.182577,YOLOFaceDetector,nan,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-02 12:22:40.182577,YOLOObjectDetector,0.8075710535049438,876.6173706054688,713.8844604492188,480.0,360.0,516.4537353515625,356.9422302246094,0,False
2022-08-02 12:22:40.182577,DepthPerception,237843356,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-02 12:22:40.182577,AzureObjectDetector,0.772,794,690,480.0,360.0,78.5,1.5,0,False
2022-08-02 12:22:50.717372,YOLOFaceDetector,nan,nan,nan,480.0,360.0,nan,nan,0,False
