log_time,Model,confidence,detected bounding box width,detected bounding box height,img xcenter,img ycenter,model output xcenter,model output ycenter,height (distance to floor),is_flying
2022-08-03 14:24:33.803313,YOLOFaceDetector,0.8869432210922241,349,349,480.0,360.0,201.0,16.0,0,False
2022-08-03 14:24:33.803313,YOLOObjectDetector,0.353929340839386,825.4434204101562,710.558837890625,480.0,360.0,540.1580200195312,357.25537109375,0,False
2022-08-03 14:24:33.803313,DepthPerception,61879508,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:24:33.803313,AzureObjectDetector,0.893,724,698,480.0,360.0,116.0,11.0,0,False
2022-08-03 14:25:24.843985,YOLOFaceDetector,0.9838317036628723,243,344,480.0,360.0,254.5,29.0,0,False
2022-08-03 14:25:24.843985,YOLOObjectDetector,0.4244445264339447,893.202880859375,707.6785278320312,480.0,360.0,511.7498779296875,360.6482238769531,0,False
2022-08-03 14:25:24.843985,DepthPerception,50097760,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:25:24.843985,AzureObjectDetector,0.829,808,702,480.0,360.0,75.0,9.0,0,False
2022-08-03 14:25:31.928046,YOLOFaceDetector,0.6047114729881287,320,273,480.0,360.0,124.5,-5.5,0,False
2022-08-03 14:25:31.928046,YOLOObjectDetector,0.4940244257450104,887.457763671875,717.2022094726562,480.0,360.0,467.40374755859375,359.4557800292969,0,False
2022-08-03 14:25:31.928046,DepthPerception,0,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:25:31.928046,AzureObjectDetector,nan,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:25:40.506892,YOLOFaceDetector,0.9706765413284302,228,338,480.0,360.0,207.5,12.0,0,False
2022-08-03 14:25:40.506892,YOLOObjectDetector,0.6036860942840576,892.7869873046875,711.1640625,480.0,360.0,457.2515869140625,364.41796875,0,False
2022-08-03 14:25:40.506892,DepthPerception,37533968,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:25:40.506892,AzureObjectDetector,0.777,779,702,480.0,360.0,45.0,9.0,0,False
2022-08-03 14:28:09.962895,YOLOFaceDetector,0.961250364780426,290,345,480.0,360.0,277.0,20.0,0,False
2022-08-03 14:28:09.962895,YOLOObjectDetector,0.3689023554325104,705.5236206054688,703.3565673828125,480.0,360.0,602.8099365234375,354.13067626953125,0,False
2022-08-03 14:28:09.962895,DepthPerception,48565670,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:28:09.962895,AzureObjectDetector,0.853,722,703,480.0,360.0,115.5,8.5,0,False
2022-08-03 14:28:21.585978,YOLOFaceDetector,0.9697707295417786,213,366,480.0,360.0,290.0,22.5,0,False
2022-08-03 14:28:21.585978,YOLOObjectDetector,0.4067528247833252,781.179443359375,709.7354736328125,480.0,360.0,562.53564453125,355.6197509765625,0,False
2022-08-03 14:28:21.585978,DepthPerception,41112494,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:28:21.585978,AzureObjectDetector,0.87,724,706,480.0,360.0,115.0,7.0,0,False
2022-08-03 14:28:39.712225,YOLOFaceDetector,nan,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:28:39.712225,YOLOObjectDetector,0.9097757339477539,249.901611328125,680.9730224609375,480.0,360.0,503.508544921875,372.14129638671875,0,False
2022-08-03 14:28:39.712225,DepthPerception,0,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:28:39.712225,AzureObjectDetector,0.912,248,672,480.0,360.0,189.0,19.5,0,False
2022-08-03 14:28:49.372911,YOLOFaceDetector,0.9348412752151489,86,110,480.0,360.0,238.5,148.5,0,False
2022-08-03 14:28:49.372911,YOLOObjectDetector,0.9238564968109131,269.6564636230469,454.0084533691406,480.0,360.0,509.87255859375,486.04443359375,0,False
2022-08-03 14:28:49.372911,DepthPerception,3532915,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:28:49.372911,AzureObjectDetector,0.894,268,464,480.0,360.0,186.0,128.0,0,False
2022-08-03 14:28:58.243312,YOLOFaceDetector,0.7897989749908447,91,119,480.0,360.0,211.5,184.0,0,False
2022-08-03 14:28:58.243312,YOLOObjectDetector,0.8173618912696838,457.0436096191406,383.6330261230469,480.0,360.0,467.41595458984375,524.6254272460938,0,False
2022-08-03 14:28:58.243312,DepthPerception,4119872,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:28:58.243312,AzureObjectDetector,0.89,407,392,480.0,360.0,139.0,162.0,0,False
2022-08-03 14:29:06.434333,YOLOFaceDetector,0.7057868838310242,84,126,480.0,360.0,212.5,180.0,0,False
2022-08-03 14:29:06.434333,YOLOObjectDetector,0.8185285925865173,457.08404541015625,385.6253967285156,480.0,360.0,471.0477600097656,522.8823852539062,0,False
2022-08-03 14:29:06.434333,DepthPerception,4038666,nan,nan,480.0,360.0,nan,nan,0,False
2022-08-03 14:29:06.434333,AzureObjectDetector,0.916,405,389,480.0,360.0,139.0,164.0,0,False
